City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
425,oranjemund,-28.55,16.4333,20.61,75,77,6.22,NA,1708442561
426,nha trang,12.25,109.1833,25.0,92,70,1.72,VN,1708442562
427,quiberon,47.4841,-3.1196,11.19,88,100,2.24,FR,1708442562
428,klaksvik,62.2266,-6.589,6.51,75,100,11.29,FO,1708442563
429,nelson bay,-32.7167,152.15,21.67,98,10,1.34,AU,1708442564
430,puerto penasco,31.3167,-113.5333,9.99,76,40,0.0,MX,1708442564
431,haiku-pauwela,20.9219,-156.3051,21.13,74,0,3.6,US,1708442565
432,puerto deseado,-47.7503,-65.8938,19.73,54,100,10.47,AR,1708442566
433,aripuana,-9.1667,-60.6333,26.25,80,100,1.65,BR,1708442567
434,chernyshevskiy,63.0128,112.4714,-19.02,93,100,4.25,RU,1708442567
435,ebish,37.4639,41.1906,8.34,75,95,1.99,TR,1708442568
436,yatou,37.15,122.3833,0.22,77,100,9.97,CN,1708442568
437,santa elena de uairen,4.6167,-61.1333,29.53,35,98,1.74,VE,1708442569
438,nalut,30.3333,10.85,19.37,29,100,4.5,LY,1708442570
439,liman,48.9884,37.8023,-1.8,61,82,2.71,UA,1708442570
440,colonia,50.9333,6.95,12.69,68,75,5.14,DE,1708442519
441,recani,31.2846,-4.2688,22.62,17,93,4.69,MA,1708442572
442,yola,9.2,12.4833,40.56,8,10,2.25,NG,1708442573
443,quelimane,-17.8786,36.8883,27.97,83,75,4.43,MZ,1708442573
444,padra,22.2333,73.0833,28.05,42,7,4.12,IN,1708442574
445,vacaria,-28.5122,-50.9339,24.7,59,95,1.07,BR,1708442574
446,atar,20.5169,-13.0499,30.48,10,0,9.65,MR,1708442575
447,khabarovsk,48.4808,135.0928,-20.11,48,8,5.0,RU,1708442576
448,benghazi,32.1167,20.0667,15.77,58,6,3.92,LY,1708442576
449,peno,56.9262,32.7426,-5.28,90,100,4.07,RU,1708442577
450,hirara,24.8,125.2833,23.15,94,100,5.66,JP,1708442578
451,gamba,-2.65,10.0,27.01,86,100,4.43,GA,1708442578
452,sarmiento,-45.5882,-69.07,24.01,36,100,7.53,AR,1708442579
453,"laikit, laikit ii (dimembe)",1.4792,124.9735,21.47,100,20,0.51,ID,1708442580
454,awjilah,29.1081,21.2869,19.08,31,46,2.56,LY,1708442580
455,lata,40.1629,-8.3327,23.6,46,50,1.05,PT,1708442581
456,rojhan,28.6868,69.9534,21.16,10,0,4.75,PK,1708442581
457,kharp,66.8014,65.8081,-7.2,94,100,8.57,RU,1708442582
458,myrina,39.8797,25.0742,11.58,58,0,5.14,GR,1708442583
459,arar,30.9753,41.0381,17.01,29,20,4.12,SA,1708442584
460,waddan,29.1614,16.139,20.36,26,0,1.18,LY,1708442585
461,pont rouge,48.8833,-72.0825,-17.84,79,17,2.49,CA,1708442585
462,jose pedro varela,-33.45,-54.5333,28.07,49,1,3.49,UY,1708442586
463,kirakira,-10.4544,161.9205,27.03,86,100,0.95,SB,1708442586
464,tocopilla,-22.092,-70.1979,24.2,66,64,1.87,CL,1708442514
465,conduaga,8.862,117.4893,25.98,80,11,2.4,PH,1708442589
466,tuy hoa,13.0833,109.3,23.51,94,61,1.79,VN,1708442589
467,long beach,33.767,-118.1892,14.43,97,100,2.57,US,1708442547
468,bushehr,28.9684,50.8385,19.05,55,0,6.17,IR,1708442591
469,santa cruz,-17.8,-63.1667,34.03,46,75,4.12,BO,1708442535
470,tsiombe,-25.3,45.4833,24.91,73,6,6.8,MG,1708442592
471,tosontsengel,48.7567,98.2839,-36.45,99,24,1.61,MN,1708442592
472,churapcha,62.0025,132.4325,-34.46,99,100,1.12,RU,1708442593
473,ofunato,39.0717,141.7167,2.74,62,100,1.62,JP,1708442594
474,kousseri,12.0769,15.0306,38.98,8,4,3.09,CM,1708442594
475,antofagasta,-23.65,-70.4,23.6,68,89,3.0,CL,1708442526
476,pampa,35.5362,-100.9599,11.02,49,0,4.12,US,1708442596
477,novyy urgal,51.0736,132.5642,-28.13,95,100,1.05,RU,1708442597
478,korla,41.7597,86.1469,-4.53,40,42,3.8,CN,1708442597
479,sittwe,20.15,92.9,22.62,85,49,3.23,MM,1708442598
480,chinchilla,-26.75,150.6333,22.79,83,66,2.24,AU,1708442599
481,vallenar,-28.5708,-70.7581,21.44,48,74,2.04,CL,1708442600
482,lisakovsk,52.5369,62.4936,-22.77,89,100,3.09,KZ,1708442600
483,kelkit,40.1298,39.4361,7.3,68,89,0.99,TR,1708442601
484,santa rosalia,27.3167,-112.2833,18.53,41,0,0.2,MX,1708442601
485,crane,31.3974,-102.3501,15.55,33,37,2.49,US,1708442602
